Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Customer_Segment,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Profit,Total_Sales
ORD000001,2023-11-24,CUST0058,Carrie Dyer,North,Home Office,Office Supplies,Notebook,4,124.54,0.0,134.09,498.16
ORD000002,2023-10-07,CUST0045,Pam Ruiz,Central,Corporate,Electronics,Laptop,2,186.63,0.1,84.15,335.93
ORD000003,2023-10-15,CUST0102,Kathryn Miller,Central,Corporate,Furniture,Sofa,10,233.38,0.0,676.11,2333.8
ORD000004,2023-03-23,CUST0358,Samuel Pennington,West,Corporate,Office Supplies,Notebook,4,766.41,0.0,384.9,3065.64
ORD000005,2023-07-14,CUST0050,Leah Williams,East,Corporate,Food & Beverage,Water,13,49.11,0.05,141.96,606.51
ORD000006,2023-07-13,CUST0041,David Schaefer,Central,Corporate,Food & Beverage,Water,10,165.95,0.0,184.96,1659.5
ORD000007,2023-04-27,CUST0396,Tamara Reynolds,East,Consumer,Furniture,Chair,7,233.21,0.15,428.11,1387.6
ORD000008,2023-03-25,CUST0190,Michelle Robles,East,Consumer,Office Supplies,Folder,15,551.58,0.0,2087.31,8273.7
ORD000009,2023-03-29,CUST0274,Anthony Stewart,South,Consumer,Clothing,Shoes,5,791.78,0.15,915.43,3365.06
ORD000010,2023-04-23,CUST0351,Michelle Kelley,East,Consumer,Furniture,Chair,13,262.63,0.0,397.91,3414.19
ORD000011,2023-10-18,CUST0449,Jonathan Davenport,East,Consumer,Clothing,Shoes,15,732.92,0.05,1417.45,10444.11
ORD000012,2023-03-13,CUST0127,Jeffrey Kennedy,Central,Home Office,Office Supplies,Folder,10,351.32,0.1,631.9,3161.88
ORD000013,2023-04-23,CUST0071,Bruce Boyer,Central,Corporate,Electronics,Webcam,1,690.97,0.0,177.48,690.97
ORD000014,2023-12-15,CUST0217,Justin Butler,Central,Consumer,Clothing,Shoes,10,796.96,0.1,1168.09,7172.64
ORD000015,2023-10-11,CUST0441,Alexander Jones,North,Home Office,Electronics,Tablet,15,436.52,0.0,1912.94,6547.8
ORD000016,2023-06-24,CUST0058,Carrie Dyer,East,Corporate,Furniture,Sofa,1,763.75,0.15,107.67,649.19
ORD000017,2023-09-14,CUST0391,April Robinson,South,Home Office,Electronics,Webcam,11,249.28,0.15,528.89,2330.77
ORD000018,2023-04-12,CUST0079,Craig Mosley,East,Consumer,Food & Beverage,Tea,15,15.45,0.0,51.48,231.75
ORD000019,2023-02-27,CUST0476,Joshua Fowler,East,Corporate,Furniture,Chair,4,704.24,0.0,342.02,2816.96
ORD000020,2023-09-06,CUST0418,Amber Morales,North,Home Office,Furniture,Desk,11,388.1,0.1,542.83,3842.19
ORD000021,2023-09-28,CUST0447,Justin Pitts,Central,Corporate,Furniture,Table,13,588.0,0.0,2126.85,7644.0
